variable_name,pressure,temperature,wind_speed,roughness_length,temperature_1,wind_speed_1
height,0,2,10,0,10,80
2023-04-26T00:00,962600.0,254.0,10.6,0.15,24.9,23.3
2023-04-26T01:00,962900.0,252.0,9.7,0.15,24.7,19.8
2023-04-26T02:00,962300.0,250.0,10.3,0.15,24.3,20.7
2023-04-26T03:00,962200.0,244.0,9.8,0.15,23.7,19.2
2023-04-26T04:00,961500.0,243.0,12.3,0.15,23.7,24.9
2023-04-26T05:00,962000.0,243.0,8.4,0.15,23.7,17.6
2023-04-26T06:00,961700.0,246.0,6.4,0.15,24.0,14.6
2023-04-26T07:00,962800.0,246.0,7.5,0.15,23.8,15.9
2023-04-26T08:00,963000.0,252.0,11.3,0.15,24.1,20.4
2023-04-26T09:00,963600.0,263.0,13.6,0.15,24.9,23.6
2023-04-26T10:00,963900.0,278.0,13.2,0.15,25.9,21.6
2023-04-26T11:00,964000.0,293.0,13.5,0.15,27.2,22.1
2023-04-26T12:00,962800.0,310.0,12.8,0.15,28.7,20.6
2023-04-26T13:00,962500.0,322.0,12.2,0.15,29.7,19.3
2023-04-26T14:00,961600.0,332.0,12.4,0.15,30.5,19.1
2023-04-26T15:00,960900.0,337.0,12.0,0.15,31.2,18.7
2023-04-26T16:00,960500.0,337.0,10.6,0.15,31.7,16.6
2023-04-26T17:00,959900.0,332.0,8.7,0.15,31.8,13.7
2023-04-26T18:00,960100.0,320.0,11.1,0.15,31.4,20.5
2023-04-26T19:00,961000.0,298.0,10.1,0.15,29.7,23.3
2023-04-26T20:00,961800.0,282.0,9.6,0.15,28.0,22.1
2023-04-26T21:00,962400.0,271.0,10.3,0.15,27.0,23.6
2023-04-26T22:00,962700.0,263.0,10.5,0.15,26.1,22.9
2023-04-26T23:00,963300.0,256.0,9.4,0.15,25.4,22.2
2023-04-27T00:00,962500.0,251.0,7.1,0.15,25.2,19.9
2023-04-27T01:00,962700.0,247.0,7.9,0.15,24.5,20.1
2023-04-27T02:00,962100.0,243.0,7.6,0.15,24.0,19.5
2023-04-27T03:00,961800.0,241.0,8.7,0.15,23.6,21.1
2023-04-27T04:00,960900.0,239.0,9.4,0.15,23.3,21.0
2023-04-27T05:00,961300.0,239.0,9.0,0.15,23.3,20.9
2023-04-27T06:00,960600.0,243.0,8.9,0.15,23.8,20.4
